age_group,job,marital,education,balance_bucket,contact,month,success_flag
18-25,management,single,tertiary,1-1K,cellular,jul,0
18-25,management,single,secondary,1K-5K,cellular,jul,0
18-25,management,single,tertiary,1-1K,telephone,jul,0
18-25,management,married,tertiary,<=0,cellular,jul,0
18-25,management,single,tertiary,1-1K,telephone,dec,0
18-25,management,single,tertiary,1K-5K,cellular,feb,0
18-25,management,married,tertiary,1-1K,cellular,feb,0
18-25,management,single,tertiary,1K-5K,cellular,feb,1
18-25,management,single,tertiary,1K-5K,cellular,mar,1
18-25,management,single,tertiary,1K-5K,cellular,mar,1
18-25,management,married,tertiary,1K-5K,cellular,mar,1
18-25,management,single,tertiary,1K-5K,cellular,mar,0
18-25,management,single,tertiary,1-1K,cellular,mar,1
18-25,management,single,tertiary,1K-5K,cellular,mar,1
18-25,management,single,tertiary,1K-5K,cellular,mar,0
18-25,management,single,tertiary,1-1K,cellular,apr,0
18-25,management,single,tertiary,1-1K,cellular,apr,0
18-25,management,married,Unknown,1-1K,cellular,apr,1
18-25,management,single,tertiary,1-1K,cellular,apr,1
18-25,management,single,tertiary,1-1K,cellular,apr,1
